"filename", "language", "YAML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "JavaScript", "HTML", "XML", "Groovy", "Batch", "Properties", "TypeScript JSX", "PostCSS", "Java", "comment", "blank", "total"
"c:\Users\LENOVO\trashure\frontend-vite\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\LENOVO\trashure\frontend-vite\fix.cjs", "JavaScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 36
"c:\Users\LENOVO\trashure\frontend-vite\index.html", "HTML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 8, 52
"c:\Users\LENOVO\trashure\frontend-vite\package-lock.json", "JSON", 0, 0, 8473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8474
"c:\Users\LENOVO\trashure\frontend-vite\package.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\LENOVO\trashure\frontend-vite\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LENOVO\trashure\frontend-vite\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\LENOVO\trashure\frontend-vite\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 4, 35
"c:\Users\LENOVO\trashure\frontend-vite\replace-api.cjs", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 40
"c:\Users\LENOVO\trashure\frontend-vite\replace-api.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 40
"c:\Users\LENOVO\trashure\frontend-vite\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 27, 185
"c:\Users\LENOVO\trashure\frontend-vite\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 11, 17, 112
